"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5893","Validate social media icon hovering and navigation","chromium","Wed Mar 12 22:51:12 IST 2025","failed","Wed Mar 12 22:51:18 IST 2025","","web/demorunner.test.ts","",""
"","3807","Validate circle appears on hover over social network icons in global footer","chromium","Wed Mar 12 21:07:50 IST 2025","failed","Wed Mar 12 21:07:54 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","3155","Validate text and background color for lets partner tab","chromium","Thu Mar 13 11:23:04 IST 2025","passed","Thu Mar 13 11:23:07 IST 2025","","web/sportsbeach-globalNavigation.test.ts","",""
"","4625","Validate links are underlined on hover","chromium","Wed Mar 12 12:07:58 IST 2025","passed","Wed Mar 12 12:08:02 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","6511","Validate page URL after clicking each link","chromium","Wed Mar 12 13:00:37 IST 2025","passed","Wed Mar 12 13:00:44 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","3996","Validate text and background color for lets partner tab","chromium","Wed Mar 12 22:12:47 IST 2025","passed","Wed Mar 12 22:12:51 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","22532","Validate social media icon hovering and navigation","chromium","Thu Mar 13 10:05:43 IST 2025","failed","Thu Mar 13 10:06:05 IST 2025","","web/sportsbeach-globalFooter.test.ts","",""
"","20004","GET API - Fetch a User with Query Params","API Tests","Mon Mar 10 12:06:07 IST 2025","broken","Mon Mar 10 12:06:27 IST 2025","Api Test Suite","api.test.ts","",""
"","4426","Global Navigation - Validate page URL after clicking each link","chromium","Thu Mar 13 13:43:49 IST 2025","passed","Thu Mar 13 13:43:53 IST 2025","","web/sportsbeach-globalNavigation.test.ts","",""
"","4329","Validate the link underlined on hover","chromium","Wed Mar 12 11:33:23 IST 2025","passed","Wed Mar 12 11:33:27 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","4389","test","chromium","Tue Mar 11 11:23:47 IST 2025","passed","Tue Mar 11 11:23:51 IST 2025","","web/sportsbeach-oversizedCTA.test.ts","",""
"","5939","Validate text and background color for lets partner tab","chromium","Thu Mar 13 17:18:51 IST 2025","passed","Thu Mar 13 17:18:57 IST 2025","Login Feature Test Suite","web/demorunner.test.ts","",""
"","4685","Validate page URL after clicking each link","chromium","Thu Mar 13 17:18:57 IST 2025","failed","Thu Mar 13 17:19:02 IST 2025","Login Feature Test Suite","web/demorunner.test.ts","",""
"","2441","Validate that all the captured words from locator match any of the allowed words","chromium","Wed Mar 12 20:25:48 IST 2025","failed","Wed Mar 12 20:25:50 IST 2025","","web/demo.test.ts","",""
"","3857","Validate links are underlined on hover","chromium","Thu Mar 13 11:22:56 IST 2025","passed","Thu Mar 13 11:23:00 IST 2025","","web/sportsbeach-globalNavigation.test.ts","",""
"","4256","Validate text and background color on hover for a single locator","chromium","Wed Mar 12 12:41:01 IST 2025","passed","Wed Mar 12 12:41:05 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","23639","Validate the logo wall","chromium","Tue Mar 11 15:31:29 IST 2025","failed","Tue Mar 11 15:31:53 IST 2025","","web/sportsbeach-logoWall.test.ts","",""
"","6860","Validate links are underlined on hover","chromium","Thu Mar 13 17:18:43 IST 2025","passed","Thu Mar 13 17:18:50 IST 2025","Login Feature Test Suite","web/demorunner.test.ts","",""
"","3794","Validate text and background color for lets partner tab","chromium","Thu Mar 13 11:15:46 IST 2025","passed","Thu Mar 13 11:15:50 IST 2025","","web/demorunner.test.ts","",""
"","4445","Validate text and background color is not same after user hovers","chromium","Wed Mar 12 12:37:46 IST 2025","passed","Wed Mar 12 12:37:50 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","30199","Validate social media icon hovering and navigation1111111","chromium","Thu Mar 13 10:09:12 IST 2025","broken","Thu Mar 13 10:09:43 IST 2025","","web/demorunner.test.ts","",""
"","20003","PUT API - Update a User","API Tests","Mon Mar 10 12:06:50 IST 2025","broken","Mon Mar 10 12:07:10 IST 2025","Api Test Suite","api.test.ts","",""
"","16053","Validate circle appears on hover over social media icons in global footer","chromium","Wed Mar 12 21:27:46 IST 2025","passed","Wed Mar 12 21:28:03 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","20003","Delete API - Delete a User","API Tests","Mon Mar 10 12:07:11 IST 2025","broken","Mon Mar 10 12:07:31 IST 2025","Api Test Suite","api.test.ts","",""
"","3267","Validate that each captured word from locator matches any of the allowed words","chromium","Wed Mar 12 20:31:16 IST 2025","failed","Wed Mar 12 20:31:19 IST 2025","","web/demo.test.ts","",""
"","30140","Validate links in global footer: URL and Status code after click","chromium","Wed Mar 12 21:39:27 IST 2025","broken","Wed Mar 12 21:39:57 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","416","Validate page URL after clicking each link","chromium","Thu Mar 13 13:52:38 IST 2025","failed","Thu Mar 13 13:52:38 IST 2025","","web/demorunner.test.ts","",""
"","2676","Validate that the locator text value contains any of the specific allowed words","chromium","Wed Mar 12 20:17:20 IST 2025","passed","Wed Mar 12 20:17:23 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","20003","POST API - Create a User","API Tests","Mon Mar 10 12:06:28 IST 2025","broken","Mon Mar 10 12:06:48 IST 2025","Api Test Suite","api.test.ts","",""
"","4626","Validate page URL after clicking each link","chromium","Thu Mar 13 11:23:33 IST 2025","passed","Thu Mar 13 11:23:38 IST 2025","","web/sportsbeach-globalNavigation.test.ts","",""
"","3033","Validate that the locator text value contains only specific words","chromium","Wed Mar 12 20:15:16 IST 2025","failed","Wed Mar 12 20:15:19 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","4343","Validate links are underlined on hover","chromium","Thu Mar 13 11:18:17 IST 2025","passed","Thu Mar 13 11:18:22 IST 2025","","web/demorunner.test.ts","",""
"","3336","Validate that all the captured words from locator match any of the allowed words","chromium","Wed Mar 12 20:24:41 IST 2025","failed","Wed Mar 12 20:24:44 IST 2025","","web/sportsbeach-demo.test.ts","",""
"","19288","Validate links in global footer: URL and Status code after click, then navigate back","chromium","Wed Mar 12 22:01:50 IST 2025","passed","Wed Mar 12 22:02:09 IST 2025","","web/sportsbeach-globalFooter.test.ts","",""
"","4789","Validate links are underlined on hover in global footer","chromium","Wed Mar 12 20:51:23 IST 2025","passed","Wed Mar 12 20:51:27 IST 2025","","web/sportsbeach-globalFooter.test.ts","",""
"","3633","Validate captured links against expected links","chromium","Tue Mar 11 15:43:09 IST 2025","passed","Tue Mar 11 15:43:13 IST 2025","","web/sportsbeach-logoWall.test.ts","",""
"","18532","Validate the oversized CTA in Base page","chromium","Tue Mar 11 14:16:09 IST 2025","passed","Tue Mar 11 14:16:27 IST 2025","","web/sportsbeach-oversizedCTA.test.ts","",""
"","15641","Validate links in global footer: URL and Status code after click, then navigate back","chromium","Wed Mar 12 22:00:32 IST 2025","passed","Wed Mar 12 22:00:48 IST 2025","","web/sportsbeach-demo.test.ts","",""
