"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7474","Full Color Partner Card - Content Validation","chromium","Thu Mar 27 12:51:08 IST 2025","passed","Thu Mar 27 12:51:15 IST 2025","Full Color Partner Card Test Suite","sportsbeach-fullColorPartnerCard.test.ts","",""
"","7991","Validate the oversized CTA in Base page","chromium","Thu Mar 27 12:51:08 IST 2025","failed","Thu Mar 27 12:51:16 IST 2025","Standalone Carousel Test Suite","sportsbeach-oversizedCTA.test.ts","",""
"","3223","validate captured text against allowed list for multiple texts","chromium","Thu Mar 27 12:32:35 IST 2025","passed","Thu Mar 27 12:32:39 IST 2025","","heropage.test.ts","",""
"","13651","Validate social media icon hovering and navigation","chromium","Thu Mar 27 12:51:29 IST 2025","passed","Thu Mar 27 12:51:42 IST 2025","Partner Card Test Suite","sportsbeach-globalFooter.test.ts","",""
"","20470","Featured1UP - Validate content","chromium","Thu Mar 27 12:51:08 IST 2025","broken","Thu Mar 27 12:51:28 IST 2025","Featured 1 UP Test Suite","sportsbeach-featured1UP.test.ts","",""
"","20917","Global Navigation - Validate page URL after clicking each link","chromium","Thu Mar 27 12:51:30 IST 2025","broken","Thu Mar 27 12:51:51 IST 2025","Global Navigation - Test Suite","sportsbeach-globalNavigation.test.ts","",""
"","21008","Partner Card - Validate Partner Links and Check API Status","chromium","Thu Mar 27 12:51:22 IST 2025","broken","Thu Mar 27 12:51:43 IST 2025","Partner Card Test Suite","sportsbeach-PartnerCard.test.ts","",""
"","19804","Validate links in global footer: URL and Status code after click, then navigate back","chromium","Thu Mar 27 12:51:08 IST 2025","passed","Thu Mar 27 12:51:28 IST 2025","Partner Card Test Suite","sportsbeach-globalFooter.test.ts","",""
"","5879","Featured1UP - Validate the animation","chromium","Thu Mar 27 12:51:30 IST 2025","failed","Thu Mar 27 12:51:36 IST 2025","Featured 1 UP Test Suite","sportsbeach-featured1UP.test.ts","",""
"","20505","Validate the logo wall","chromium","Thu Mar 27 12:51:08 IST 2025","broken","Thu Mar 27 12:51:28 IST 2025","Logo Wall Test Suite","sportsbeach-logoWall.test.ts","",""
"","4476","Partner Card - Partners List Validation","chromium","Thu Mar 27 12:51:16 IST 2025","failed","Thu Mar 27 12:51:21 IST 2025","Partner Card Test Suite","sportsbeach-PartnerCard.test.ts","",""
"","20499","Global Navigation - Validate links are underlined on hover","chromium","Thu Mar 27 12:51:08 IST 2025","broken","Thu Mar 27 12:51:28 IST 2025","Global Navigation - Test Suite","sportsbeach-globalNavigation.test.ts","",""
"","20999","Partner Card - Validate Partner Links and Check API Status","chromium","Thu Mar 27 12:32:35 IST 2025","broken","Thu Mar 27 12:32:56 IST 2025","Partner Card Test Suite","demo.test.ts","",""
"","5636","Validate captured links against expected links","chromium","Thu Mar 27 12:51:30 IST 2025","failed","Thu Mar 27 12:51:36 IST 2025","Logo Wall Test Suite","sportsbeach-logoWall.test.ts","",""
